id,created_at,text
1354865576351391747,2021-01-28 18:55:00,Marie Benedict’s account of what happened when Agatha Christie disappeared from her home in the winter of 1926 is f… https://t.co/3E430fThZa
1354851987263639553,2021-01-28 18:01:00,"The Waterloo Musical Society was established on January 27, 1882. This image, from 1902 or 1903, features Arthur St… https://t.co/mHRV6ca5ZA"
1354805826939023367,2021-01-28 14:57:34,"RT @Bell_LetsTalk: Today, every view of this video helps create positive change. All you need to do is watch it and Bell will donate 5¢ mor…"
1354800700111392770,2021-01-28 14:37:12,"It can be especially hard to know how to talk to kids &amp; teens about tough issues, including mental health. We've pu… https://t.co/krsUqe6Fen"
1354799898613448706,2021-01-28 14:34:01,"We've got lots of books at the library that can help. Try one of these lists and place holds on items today!

Books… https://t.co/J8t5D481yZ"
1354798612870553602,2021-01-28 14:28:54,If you are struggling and need help that's okay. These local/provincial wellnesses resources are designed to help.… https://t.co/pgsM9XSASC
1354797440197664770,2021-01-28 14:24:15,It’s #BellLetsTalk Day. We are joining to conversation with local resources and book suggestions for anyone who may… https://t.co/FCKQyzjFOI
1354785297343664135,2021-01-28 13:36:00,"We are honoured to be co-hosting the #WorldWetlandsDay Distinguished Lecture &amp; Panel on with @UW_Ecohydrology . 

J… https://t.co/BFnTKeqMi0"
1354541943930331137,2021-01-27 21:29:00,"The Humboldt crash was a horrible tragedy felt all across Canada. @KalebDahlgren , Humboldt crash survivor, has a n… https://t.co/vz4jYwe69v"
1354489351464341509,2021-01-27 18:00:01,"If you love cozy (and sometimes not so cozy) British murder mysteries, you know that those breathtakingly beautiful… https://t.co/TeGYx8nRww"
1354435600213012483,2021-01-27 14:26:25,Happy #FamilyLiteracyDay . There are still lots of programs and activities going on for our week long celebration o… https://t.co/hD61Dvh1HZ
1354414353605398532,2021-01-27 13:02:00,Hey new parents! We've gathered local experts to help answer some of your most frequently asked questions/concerns.… https://t.co/akwARBk2ac
1354285286897954816,2021-01-27 04:29:08,@ChristinaKilbou @ForestofReading Wow that’s great! We will certainly let the programmer know... maybe you will see… https://t.co/qVEzoDEDm8
1354174019428212736,2021-01-26 21:07:00,"We are reading the @ForestofReading nominated title, #SafeHarbour by @ChristinaKilbou for our Feb Book Club for Gra… https://t.co/idtGKd3ae9"
1354126966178238464,2021-01-26 18:00:01,In this time of the staycation we're continuing to share photos of libraries around the world that were visited by… https://t.co/UZbf3VAPVr
1354112615316934656,2021-01-26 17:03:00,"Embrace your inner foodie this February with cooking classes, food themed events, local partners @shortfingerbeer… https://t.co/Y32Woi1nhu"
1354080402684710915,2021-01-26 14:55:00,"The Paris Library by @skesliencharles is ""...an engaging story that focuses on the power of community and how books… https://t.co/DRvdgFKe5r"
