VolunteerID,FSA,AgeGroup,YearsVolunteeredGroup,OccasionalVolunteer,RegularVolunteer,Donor,FirstDonationYear,NumberDonations,SumDonationsGroup,"Population,-2016",age_distribution_0-to-14-years,age_distribution_15-to-64-years,age_distribution_65-years-and-over,age_distribution_85-years-and-over,age_Average-age-of-the-population,age_Median-age-of-the-population,family_%-married-or-living-common-law,family_Average-size-of-census-families,family_%-census-families-that-are-couples,family_%-couples-with-children,income_Median-employment-income-in-2015-for-full-year-full-time-workers-over-15-($),income_Average-employment-income-in-2015-for-full-year-full-time-workers-over-15-($),income_Median-total-income-of-households-in-2015-($),"income_Prevalence-of-low-income-based-on-the-Low-income-measure,-after-tax-(LIM-AT)-(%)",citizenship_%-canadian-citizens,citizenship_%-immigrants,dwellings_%-owners,dwellings_%-renters,"education_%-no-certificate,-diploma-or-degree",education_%-high-school-diploma,"education_%-postsecondary-certificate,-diploma-or-degree",education_%-apprenticeship-or-trades-certificate-or-diploma,education_%-college-certificate-or-diplome,education_%-bachelor-or-above,labour_force_Participation-rate,labour_force_Employment-rate,labour_force_Unemployment-rate
36,N3A,70 + ,less than 1,1,0,Y,2008,1,under $50,16123,0.208,0.606,0.186,0.023,40.1,40.1,0.698394046,3,0.901639344,0.523863636,57836,64347,93899,0.054,0.982483578,0.092899593,0.864249578,0.135750422,0.178033307,0.261697066,0.560269627,0.090800952,0.266455194,0.186756542,0.693,0.668,0.036
37,N2K,unknown,5 - 10 years,1,0,Y,1999,21,"$500 - $2,000",27253,0.188,0.696,0.117,0.012,38.2,39.5,0.629713254,3.1,0.873417722,0.614492754,65329,81477,104552,0.073,0.949348231,0.211026262,0.838996341,0.16048092,0.134070491,0.24856024,0.617138908,0.057820779,0.203870076,0.340013822,0.726,0.691,0.048
38,N3A,70 + ,less than 1,1,0,Y,2008,1,under $50,16123,0.208,0.606,0.186,0.023,40.1,40.1,0.698394046,3,0.901639344,0.523863636,57836,64347,93899,0.054,0.982483578,0.092899593,0.864249578,0.135750422,0.178033307,0.261697066,0.560269627,0.090800952,0.266455194,0.186756542,0.693,0.668,0.036
39,N2K,60 - 69,5 - 10 years,1,0,Y,1999,21,"$500 - $2,000",27253,0.188,0.696,0.117,0.012,38.2,39.5,0.629713254,3.1,0.873417722,0.614492754,65329,81477,104552,0.073,0.949348231,0.211026262,0.838996341,0.16048092,0.134070491,0.24856024,0.617138908,0.057820779,0.203870076,0.340013822,0.726,0.691,0.048
40,N2B,60 - 69,less than 1,1,0,Y,2009,10,$250 - $500,16501,0.137,0.669,0.193,0.026,43.3,45,0.560238848,2.8,0.816580311,0.469543147,50399,57187,67375,0.101,0.965475099,0.224633252,0.623504574,0.375791696,0.203605514,0.303994344,0.492753623,0.084482149,0.237539767,0.156592435,0.65,0.605,0.07
41,N2L,20 - 29,less than 1,0,1,N,,,,27758,0.121,0.71,0.169,0.026,39.2,33.3,0.466079115,2.8,0.838391502,0.441628959,56592,69782,60683,0.227,0.832392057,0.227181636,0.464449064,0.535550936,0.113380575,0.306586078,0.580241767,0.038766153,0.144852022,0.377448937,0.58,0.532,0.083
42,N2H,60 - 69,10 + years,1,0,N,,,,21058,0.131,0.71,0.159,0.027,41.5,39.9,0.505602624,2.7,0.81981982,0.418681319,50609,57209,58335,0.154,0.948039452,0.151311042,0.497320994,0.502679006,0.189054726,0.265616363,0.545328911,0.065229409,0.200939746,0.264510779,0.684,0.64,0.063
43,N2B,30 - 39,less than 1,1,0,N,,,,16501,0.137,0.669,0.193,0.026,43.3,45,0.560238848,2.8,0.816580311,0.469543147,50399,57187,67375,0.101,0.965475099,0.224633252,0.623504574,0.375791696,0.203605514,0.303994344,0.492753623,0.084482149,0.237539767,0.156592435,0.65,0.605,0.07
44,N2G,70 + ,less than 1,1,0,N,,,,13407,0.11,0.721,0.169,0.025,41.8,38.9,0.447798742,2.6,0.8,0.350775194,48126,56511,48505,0.229,0.912591452,0.237966885,0.334517045,0.665482955,0.180242634,0.267764298,0.551993068,0.047227036,0.191507799,0.29982669,0.649,0.596,0.082
45,N2G,30 - 39,less than 1,1,0,Y,1998,13,"$500 - $2,000",13407,0.11,0.721,0.169,0.025,41.8,38.9,0.447798742,2.6,0.8,0.350775194,48126,56511,48505,0.229,0.912591452,0.237966885,0.334517045,0.665482955,0.180242634,0.267764298,0.551993068,0.047227036,0.191507799,0.29982669,0.649,0.596,0.082
